host_time_s,t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1769610307.505167,38464,0.080000,0.100000,-0.050000,0.000000,0.000000,0.062500,164.187500,-1.375000,7.375000
1769610308.004562,38964,0.060000,0.060000,-0.010000,-0.062500,0.125000,0.000000,164.187500,-1.437500,7.375000
1769610308.508116,39464,0.160000,0.050000,0.140000,-0.625000,-0.187500,-0.125000,164.187500,-1.437500,7.375000
1769610309.008133,39964,0.060000,0.120000,-0.040000,-0.375000,0.125000,-0.125000,164.187500,-1.437500,7.375000
1769610309.507772,40464,0.070000,0.090000,-0.060000,-0.062500,-0.187500,-0.062500,164.187500,-1.437500,7.312500
1769610310.007311,40964,0.070000,0.090000,-0.020000,0.187500,0.312500,-0.062500,164.187500,-1.437500,7.375000
1769610310.507300,41464,0.070000,0.100000,-0.030000,-0.187500,0.312500,-0.125000,164.187500,-1.437500,7.375000
1769610311.007023,41964,0.050000,0.120000,-0.040000,-0.250000,0.312500,0.000000,164.187500,-1.437500,7.312500
1769610311.510571,42464,0.070000,0.120000,-0.030000,0.125000,-0.062500,-0.125000,164.187500,-1.437500,7.312500
1769610312.010483,42964,0.060000,0.100000,-0.050000,0.062500,0.000000,0.125000,164.187500,-1.437500,7.312500
1769610312.513943,43464,0.050000,0.120000,0.030000,0.250000,0.125000,0.062500,164.187500,-1.437500,7.312500
1769610313.013698,43964,0.080000,0.120000,-0.030000,-0.125000,-0.062500,-0.125000,164.187500,-1.437500,7.312500
1769610313.509445,44464,0.070000,0.090000,-0.040000,0.312500,0.187500,0.062500,164.187500,-1.437500,7.312500
1769610314.013032,44964,0.090000,0.120000,-0.060000,-0.062500,-0.125000,0.125000,164.187500,-1.437500,7.312500
1769610314.513104,45464,0.090000,0.120000,0.070000,0.437500,-0.312500,0.000000,164.187500,-1.437500,7.312500
1769610315.013177,45964,0.040000,0.140000,-0.030000,0.250000,-0.062500,-0.062500,164.187500,-1.437500,7.312500
1769610315.516042,46464,0.060000,0.110000,-0.010000,-0.187500,-0.125000,0.000000,164.187500,-1.437500,7.312500
1769610316.016332,46964,0.030000,0.130000,-0.060000,-0.375000,-0.312500,-0.062500,164.187500,-1.500000,7.312500
